page_type,route,brand_slug,model_slug,variant_slug,display_name,main_image,small_image
model,/ford/ka,ford,ka,,Ford Ka,/images/brands/ford/models/ford-ka-main.webp,/images/brands/ford/models/ford-ka-small.webp
model,/ford/kuga,ford,kuga,,Ford Kuga,/images/brands/ford/models/ford-kuga-main.webp,/images/brands/ford/models/ford-kuga-small.webp
model,/ford/mondeo,ford,mondeo,,Ford Mondeo,/images/brands/ford/models/ford-mondeo-main.webp,/images/brands/ford/models/ford-mondeo-small.webp
model,/ford/orion,ford,orion,,Ford Orion,/images/brands/ford/models/ford-orion-main.webp,/images/brands/ford/models/ford-orion-small.webp
model,/ford/p100,ford,p100,,Ford P100,/images/brands/ford/models/ford-p100-main.webp,/images/brands/ford/models/ford-p100-small.webp
model,/ford/puma,ford,puma,,Ford Puma,/images/brands/ford/models/ford-puma-main.webp,/images/brands/ford/models/ford-puma-small.webp
model,/ford/ranger,ford,ranger,,Ford Ranger,/images/brands/ford/models/ford-ranger-main.webp,/images/brands/ford/models/ford-ranger-small.webp
model,/ford/territory,ford,territory,,Ford Territory,/images/brands/ford/models/ford-territory-main.webp,/images/brands/ford/models/ford-territory-small.webp
model,/ford/tourneo,ford,tourneo,,Ford Tourneo,/images/brands/ford/models/ford-tourneo-main.webp,/images/brands/ford/models/ford-tourneo-small.webp
model,/ford/tracer,ford,tracer,,Ford Tracer,/images/brands/ford/models/ford-tracer-main.webp,/images/brands/ford/models/ford-tracer-small.webp
model,/ford/transit-courier,ford,transit-courier,,Ford Transit Courier,/images/brands/ford/models/ford-transit-courier-main.webp,/images/brands/ford/models/ford-transit-courier-small.webp
model,/ford/transit,ford,transit,,Ford Transit,/images/brands/ford/models/ford-transit-main.webp,/images/brands/ford/models/ford-transit-small.webp
model,/jaguar/e-pace,jaguar,e-pace,,Jaguar E-Pace,/images/brands/jaguar/models/jaguar-e-pace-main.webp,/images/brands/jaguar/models/jaguar-e-pace-small.webp
model,/jaguar/f-pace,jaguar,f-pace,,Jaguar F-Pace,/images/brands/jaguar/models/jaguar-f-pace-main.webp,/images/brands/jaguar/models/jaguar-f-pace-small.webp
model,/jaguar/f-type,jaguar,f-type,,Jaguar F Type,/images/brands/jaguar/models/jaguar-f-type-main.webp,/images/brands/jaguar/models/jaguar-f-type-small.webp
model,/jaguar/i-pace,jaguar,i-pace,,Jaguar I-Pace,/images/brands/jaguar/models/jaguar-i-pace-main.webp,/images/brands/jaguar/models/jaguar-i-pace-small.webp
model,/jaguar/s-type,jaguar,s-type,,Jaguar S-Type,/images/brands/jaguar/models/jaguar-s-type-main.webp,/images/brands/jaguar/models/jaguar-s-type-small.webp
